,H1,H2,lnD1,lnD2,lnD3,lnD4,lnD5,lnD6,E1,E2,E3,SN
191,41,584,-0.50587125,-1.497851816,-2.344240768,-3.035721282,-3.431141258,-3.344155641,8005,172,193,3.98856769
192,188,221,-0.904312755,-1.542480444,-2.150293283,-2.404285648,-3.077810385,-3.180857758,1018,177,169,2.79363883
193,247,434,-2.047477866,-2.273026291,-2.522982419,-2.720679618,-2.995332354,-3.24240037,8242,385,190,11.34014456
194,137,196,-0.537563243,-0.743514588,-1.019459207,-1.236427128,-1.567960133,-1.780285547,4481,379,46,4.605238008
195,65,508,-1.035243201,-1.624957724,-2.002925044,-2.172785655,-2.545038893,-2.75294297,3915,469,111,5.857211282
196,127,471,-1.261107689,-1.522985025,-1.830645838,-2.012605661,-2.322685765,-2.524479425,8211,389,89,7.842814307
197,133,317,-1.136594569,-1.547825543,-2.044846897,-2.300986372,-2.836508768,-3.001750346,4083,243,144,4.728039829
198,40,258,-0.494689842,-1.059266583,-1.498343865,-1.908383177,-2.236516493,-2.410393046,3783,419,82,2.977580885
199,54,536,-0.935677446,-1.572816729,-2.038683549,-2.212196093,-2.650866788,-2.776757399,8053,350,118,5.798484467
200,173,567,-1.644443522,-1.891601904,-2.184979851,-2.375263318,-2.651717128,-2.88544392,7841,389,126,9.931497802
201,85,541,-0.82225409,-1.533310552,-2.252367377,-2.450737134,-3.173902459,-3.214634831,3213,202,174,4.42942359
202,48,315,-0.06240746,-0.528684142,-0.937616519,-1.292257719,-1.483510356,-1.725971729,6652,211,43,3.078190829
203,235,430,-1.582503911,-1.82473731,-2.073061935,-2.252747858,-2.508871527,-2.735678368,4712,372,113,8.772524791
204,214,351,-1.400474425,-1.681363652,-1.989016,-2.207274913,-2.559543993,-2.798686321,3823,291,119,6.734215476
205,221,192,-1.328440634,-1.720648842,-2.133011109,-2.398215324,-2.882046509,-3.166283375,2390,236,160,4.532650294
206,78,534,-0.464482897,-0.845249959,-1.087019743,-1.211836979,-1.44634165,-1.578375387,2390,355,36,5.319236384
207,123,206,-1.247785377,-1.642529447,-2.184002377,-2.467931546,-3.081725987,-3.242912403,6617,208,178,4.552059985
208,102,489,-0.865954145,-1.250435679,-1.519780041,-1.660678577,-1.925245149,-2.102178069,2403,480,60,5.972052124
209,203,555,-1.369791289,-1.900124494,-2.261827101,-2.432124464,-2.734753584,-2.977106809,1511,465,138,7.297560251
210,145,350,-0.926871511,-1.175514932,-1.513309885,-1.748125432,-2.132336117,-2.334901694,5780,190,77,5.505825037
211,45,484,-0.46440334,-0.796177081,-0.988082159,-1.104308481,-1.306227038,-1.435106526,6670,500,31,5.70527651
212,202,291,-1.113736079,-1.588018945,-2.039298177,-2.288090647,-2.786606514,-2.960172098,1584,247,141,4.225780283
213,150,543,-0.735887681,-0.913419857,-1.090971554,-1.215303421,-1.39146772,-1.521701798,4513,369,31,7.622752062
214,155,487,-1.024237923,-1.23949636,-1.489479467,-1.651041462,-1.909530005,-2.090866559,5525,312,58,7.3807637
215,67,189,-0.145268576,-0.521836016,-0.969665138,-1.380590658,-1.615808159,-1.874315332,5833,265,49,2.959199542
216,113,206,-1.191023674,-1.568583918,-2.070600737,-2.342365963,-2.900967697,-3.074991955,7306,281,153,4.726280505
217,120,164,-0.461146966,-1.112183969,-1.763172012,-2.310012609,-2.43280768,-2.698595042,1090,163,112,1.880493776
218,178,589,-1.085893516,-1.325500342,-1.592089274,-1.761890036,-2.033474406,-2.214665795,4185,257,64,7.529665336
219,115,598,-1.275289803,-1.624348525,-1.951857801,-2.10504657,-2.363290968,-2.573213411,5720,446,91,8.143493873
220,235,153,-1.354446918,-1.515128233,-1.722326695,-1.906699051,-2.157446327,-2.395687711,6746,278,86,7.649969088
221,80,524,-0.484021421,-0.855360274,-1.088295688,-1.211904175,-1.441468862,-1.574553511,2221,380,36,5.372668843
222,200,216,-0.929173358,-1.104067139,-1.334043525,-1.528318861,-1.814189144,-2.01763174,4815,262,59,6.013824442
223,201,431,-0.943071147,-1.1902014,-1.413501132,-1.557414884,-1.792339637,-1.963615976,2459,371,52,6.539400022
224,106,537,-0.833375232,-1.186034659,-1.626024716,-1.847885475,-2.285826309,-2.443342531,6281,184,83,5.512096578
225,160,375,-1.298283484,-1.764806,-2.164738026,-2.374295941,-2.78758054,-3.024131748,2146,450,144,5.574364265
